run_id,block,trace_level,processor_type,sampler_type,sampler_ratio,exporter_type,n_lo,rep,duration_s,mhz_med,aperf_mhz,tctl_pre_c,tctl_post_c,hi_loops,run_dir,exit_code,warmup_rows,n_iters,deadline_misses,deadline_miss_ratio,budget_med_us,slack_med_us,slack_min_us,max_duration_us,mean_duration_us,med_duration_us,period_jitter_std_us,act_period_med_us,act_period_max_us,mean_wu_latency_us,hi_spans_exported,lo_spans_exported,spans_exported_total,export_attempts,aborted
1,block1,0,0,0,0.0,0,0,1,20,2295,NA,51.4,51.0,2001,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t0_p0_s0_r0.0_e0_n0/run_01,0,1,2000,0,0.0,9991.0,8006.0,5465,2017,1991.0,1984.0,56.93,10000,10063,7.53,0,0,0,0,0
2,block1,1,0,0,0.0,0,0,1,20,2295,NA,51.0,50.8,2000,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t1_p0_s0_r0.0_e0_n0/run_01,0,3,1997,0,0.0,9991,8029,7035,1990,1962.1,1955,22.67,10000.0,10058,7.45,0,0,0,3,0
3,block1,2,0,0,0.0,0,0,1,20,2295,NA,50.8,50.6,2000,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t2_p0_s0_r0.0_e0_n0/run_01,0,3,1997,0,0.0,9991,8006,6270,2018,1992,1984,38.98,10000.0,10050,7.27,0,0,0,3,0
4,block1,3,0,0,0.0,0,0,1,20,2295,NA,50.6,50.5,2000,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t3_p0_s0_r0.0_e0_n0/run_01,0,3,1997,0,0.0,9976,7985,6425,2023,1991.9,1984,35.63,10000.0,10058,7.48,0,0,0,7,0
5,block1,0,0,0,0.0,0,0,2,20,2295,NA,50.5,50.5,2000,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t0_p0_s0_r0.0_e0_n0/run_02,0,1,1999,0,0.0,9991,7995,5130,2018,1992.4,1988,64.4,10000.0,10053,7.2,0,0,0,0,0
6,block1,1,0,0,0.0,0,0,2,20,2295,NA,50.5,50.5,2000,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t1_p0_s0_r0.0_e0_n0/run_02,0,9,1991,0,0.0,9991,8021,1993,7338,4179.8,1970,16.91,10000.0,10050,7.05,0,0,0,3,0
7,block1,2,0,0,0.0,0,0,2,20,2295,NA,50.5,50.5,2000,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t2_p0_s0_r0.0_e0_n0/run_02,0,3,1997,0,0.0,9991,8006,6832,2019,1991.5,1983,26.46,10000.0,10052,7.13,0,0,0,3,0
8,block1,3,0,0,0.0,0,0,2,20,2295,NA,50.5,50.5,2000,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t3_p0_s0_r0.0_e0_n0/run_02,0,3,1997,0,0.0,9976,7977,6893,2046,1994.8,2000,25.57,10000.0,10082,7.47,0,0,0,8,0
9,block1,0,0,0,0.0,0,0,3,20,2295,NA,50.5,50.5,2001,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t0_p0_s0_r0.0_e0_n0/run_03,0,1,2000,0,0.0,9991.0,8006.0,5162,2019,1991.8,1984.0,63.66,10000,10053,7.38,0,0,0,0,0
10,block1,1,0,0,0.0,0,0,3,20,2295,NA,50.5,50.5,2000,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t1_p0_s0_r0.0_e0_n0/run_03,0,3,1997,0,0.0,9991,8036,6462,1987,1961.4,1954,35.4,10000.0,10058,7.21,0,0,0,3,0
11,block1,2,0,0,0.0,0,0,3,20,2295,NA,50.5,50.5,2000,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t2_p0_s0_r0.0_e0_n0/run_03,0,3,1997,0,0.0,9991,8003,6572,2020,1992.0,1985,32.28,10000.0,10048,7.37,0,0,0,3,0
12,block1,3,0,0,0.0,0,0,3,20,2295,NA,50.5,50.5,2000,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t3_p0_s0_r0.0_e0_n0/run_03,0,3,1997,0,0.0,9977,7984,6608,2020,1991.9,1984,31.84,10000.0,10071,7.67,0,0,0,8,0
13,block1,0,0,0,0.0,0,0,4,20,2295,NA,50.5,50.2,2001,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t0_p0_s0_r0.0_e0_n0/run_04,0,1,2000,0,0.0,9991.0,7994.0,5238,2020,1992.1,1987.0,61.98,10000,10069,7.38,0,0,0,0,0
14,block1,1,0,0,0.0,0,0,4,20,2295,NA,50.2,50.2,2000,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t1_p0_s0_r0.0_e0_n0/run_04,0,3,1997,0,0.0,9991,8036,6976,1990,1961.6,1953,23.94,10000.0,10062,7.48,0,0,0,3,0
15,block1,2,0,0,0.0,0,0,4,20,2295,NA,50.2,50.2,2000,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t2_p0_s0_r0.0_e0_n0/run_04,0,3,1997,0,0.0,9991,8006,6479,2017,1991.0,1983,34.36,10000.0,10065,7.43,0,0,0,3,0
16,block1,3,0,0,0.0,0,0,4,20,2295,NA,50.2,50.2,2000,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t3_p0_s0_r0.0_e0_n0/run_04,0,3,1997,0,0.0,9977,7978,6485,2022,1995.1,2000,34.33,10000.0,10066,7.53,0,0,0,8,0
