block,trace_level,processor_type,sampler_type,sampler_ratio,exporter_type,n_lo,n_runs,n_aborted,iters_tot,deadline_misses_tot,deadline_miss_ratio,budget_med_us,slack_med_us,slack_min_us,med_duration_us,act_period_med_us,jitter_med_us,warmup_med,export_attempts_med,hi_spans_med,lo_spans_med,runs_sampled,aperf_mhz_med
block1,0,0,0,0.0,0,0,20,0,39996,0,0.0,9991.0,8005.0,5130,1984.0,10000.0,57.5,1.0,0.0,0.0,0.0,0,
block1,1,0,0,0.0,0,0,20,0,39934,0,0.0,9991.0,8036.0,1993,1954.0,10000.0,58.0,3.0,3.0,0.0,0.0,0,
block1,2,0,0,0.0,0,0,20,0,39942,0,0.0,9991.0,8006.0,6226,1984.0,10000.0,52.0,3.0,3.0,0.0,0.0,0,
block1,3,0,0,0.0,0,0,20,0,39941,0,0.0,9977.0,7979.0,6170,1999.0,10000.0,62.0,3.0,8.0,0.0,0.0,0,
block2,2,0,0,0.0,1,4,25,0,49835,0,0.0,9991.0,7993.0,81,1999.0,10000.0,35.0,7.0,0.0,1.0,4.0,25,
block2,2,0,1,0.1,1,4,25,0,49835,0,0.0,9991.0,8023.0,119,1969.0,10000.0,36.0,7.0,0.0,0.0,0.0,4,
block2,2,0,1,0.3,1,4,25,0,49815,0,0.0,9991.0,8023.0,70,1969.0,10000.0,34.0,7.0,0.0,0.0,0.0,11,
block2,2,0,1,0.5,1,4,25,0,49838,0,0.0,9991.0,8023.0,231,1969.0,10000.0,34.0,6.0,0.0,1.0,4.0,16,
block2,2,0,1,0.7,1,4,25,0,49834,1,2.007e-05,9991.0,8023.0,-1142,1969.0,10000.0,35.0,7.0,0.0,1.0,4.0,20,
block2,2,0,2,0.0,1,4,25,0,49840,0,0.0,9991.0,7993.0,159,1999.0,10000.0,35.0,6.0,0.0,0.0,0.0,0,
block3,0,0,0,0.0,0,0,15,0,29993,0,0.0,9991.0,8002.0,3292,1985.0,10000.0,54.0,1.0,0.0,0.0,0.0,0,2290.0
block3,0,0,0,0.0,0,1,15,0,29969,0,0.0,9991.0,7993.0,714,1999.0,10000.0,39.0,2.0,0.0,0.0,0.0,0,2287.0
block3,0,0,0,0.0,0,4,15,0,29925,0,0.0,9992.0,8003.0,1361,1983.0,10000.0,36.0,5.0,0.0,0.0,0.0,0,2289.0
block3,0,0,0,0.0,0,8,15,0,29862,0,0.0,9991.0,8008.0,109,1983.0,10000.0,37.0,9.0,0.0,0.0,0.0,0,2291.0
block3,3,0,0,0.0,0,0,15,0,29965,0,0.0,9977.0,7979.0,181,1999.0,10000.0,67.0,2.0,8.0,0.0,0.0,0,2288.0
block3,3,0,0,0.0,0,1,15,0,29950,0,0.0,9978.0,7995.0,78,1983.0,10000.0,44.0,3.0,117.0,0.0,0.0,0,2300.0
block3,3,0,0,0.0,0,4,15,0,29907,0,0.0,9978.0,7995.0,65,1983.0,10000.0,57.0,6.0,203.0,0.0,0.0,0,2300.0
block3,3,0,0,0.0,0,8,15,0,29841,0,0.0,9979.0,7996.0,203,1983.0,10000.0,53.0,11.0,209.0,0.0,0.0,0,2300.0
block3,3,1,0,0.0,0,0,15,0,29985,0,0.0,9686.0,7629.0,441,2045.0,10000.0,152.0,2.0,2007.0,0.0,0.0,0,2288.0
block3,3,1,0,0.0,0,1,15,11,29835,0,0.0,9691.0,7647.0,326,2044.0,10000.0,5045.0,3.0,16060.0,0.0,0.0,0,2298.0
block3,3,1,0,0.0,0,4,15,14,29624,12,0.00040508,8689.0,6645.0,-2453,2044.0,10000.0,7073.0,6.0,25568.0,0.0,0.0,0,2299.0
block3,3,1,0,0.0,0,8,15,15,29544,9,0.00030463,9682.0,7639.0,-3631,2044.0,10000.0,7063.0,12.0,25551.0,0.0,0.0,0,2299.0
diag,2,0,0,0.0,1,4,25,0,49839,0,0.0,9991.0,7993.0,120,1999.0,10000.0,34.0,6.0,0.0,1.0,4.0,25,2288.0
diag,2,0,1,0.3,1,4,25,0,49836,0,0.0,9991.0,8023.0,331,1969.0,10000.0,32.0,7.0,0.0,0.0,0.0,8,2287.0
diag,2,0,2,0.0,1,4,25,0,49842,0,0.0,9991.0,7993.0,62,1999.0,10000.0,32.0,6.0,0.0,0.0,0.0,0,2288.0
